Name,Notiz,Produzent,Herkunft,Einheit
Buchweizenmehl,bio,Bassetti,Tessin,1kg 
Farina Bona,"bio, geröstetes Maismehl",Bassetti,Tessin,250g
Hartweizenmehl ,"bio, für Pasta",Bassetti,Tessin,1kg 
Kastanienmehl,,Bassetti,Tessin,450g
Polenta,bio,Bassetti,Tessin,2.5kg 
"Polenta (Rosso del Ticino, Pro Specie Rara)",bio,Bassetti,Tessin,1kg 
5-Korn-Flocken,Knospe,biofarm,Schweiz,2.5kg
Couscous,EU-Bio,biofarm,Italien,1kg
Dinkelbulgur,Knospe,biofarm,Schweiz,1kg
Dinkelweissmehl,Knospe,biofarm,Schweiz,2.5kg
Goldhirse,Knospe,biofarm,Schweiz,1kg
Grünkernkörner,Knospe,biofarm,Europa,1kg
Haferflöckli fein,Knospe,biofarm,Schweiz,2.5kg
Haferkörner,Knospe,biofarm,Schweiz,1kg
Knuspermüesli Choco & Amarant,Knospe,biofarm,divers,1kg
Müesli classic,Knospe,biofarm,Schweiz,1kg
Quinoa,Knospe,biofarm,Schweiz,1kg
"Reis, Basmati, braun",Knospe,biofarm,Indien,1kg
"Reis, Risotto",Knospe,biofarm,Italien,1kg
Weizen-Weissmehl,Knospe,biofarm,Schweiz,2.5kg
"Reis, Basmati, weiss",bio,gebana,Indien,1kg
"Reis, Langkorn",bio,gebana,Indien,1kg
Dinkelmehl (Vollkorn),bio-dynamisch,StadtLandWinti,Zünikon und Neftenbach,"2,5kg"
Roggenkörner,bio-dynamisch,StadtLandWinti,Zünikon und Neftenbach,"2,5kg"
Roggenmehl (Vollkorn),bio-dynamisch,StadtLandWinti,Zünikon und Neftenbach,"2,5kg"
Weizenkörner,bio-dynamisch,StadtLandWinti,Zünikon und Neftenbach,"2,5kg"
Weizenmehl (ruch),bio-dynamisch,StadtLandWinti,Zünikon und Neftenbach,"2,5kg"
Weizenmehl (Vollkorn),bio-dynamisch,StadtLandWinti,Zünikon und Neftenbach,"2,5kg"
"Reis, Rosso Selvaggio",Roter Wildreis,Terra Verde,Italien,500g
"Reis, Schwarz",Schwerzer Vollkornreis,Terra Verde,Italien,500g
